Label: AG FM

Date Time	Elapsed	A1	B1	C1	A2	B2	C2	A3	B3	C3	A4	B4	C4
09/05/2018 17:00:00	0	3.92008	3.600657	5.237998	3.737313	3.413722	2.721488	3.719937	5.147623	4.11291	3.488063	3.457156	3.862686
09/05/2018 20:00:00	3	3.778282	3.355468	5.829933	3.402041	3.00688	2.926015	3.672911	5.152627	3.998513	3.137433	3.077721	3.853721
09/05/2018 23:00:00	6	4.047917	3.799235	6.40311	3.786763	3.309809	2.953139	4.110262	5.636198	4.34489	3.529317	3.360457	3.843329
10/05/2018 02:00:00	9	4.88432	4.528433	7.541415	4.640267	3.755388	3.591286	4.896032	6.595525	5.301371	4.279107	4.142889	4.559908
10/05/2018 05:00:00	12	5.585304	5.291017	8.590067	5.48595	4.405462	4.403044	5.48103	7.704803	6.1746	4.964334	4.730066	5.497301
10/05/2018 08:00:00	15	6.421239	6.02492	9.55954	6.453866	5.238459	5.139073	6.366646	8.765887	6.86595	5.554979	5.482065	6.212147
10/05/2018 11:00:00	18	7.097117	6.652582	10.37101	7.394176	5.982921	5.615721	6.774555	9.795251	7.560333	6.12775	6.127774	6.881139
10/05/2018 14:00:00	21	7.606523	7.17839	10.91576	8.017355	6.656642	6.172497	7.388918	10.56746	8.070369	6.698265	6.610899	7.528182
10/05/2018 17:00:00	24	8.819866	8.202296	11.10744	8.661874	7.783657	6.806868	7.764131	10.99216	8.739171	7.288227	6.981768	7.14227
10/05/2018 20:00:00	27	9.118765	8.117908	11.67647	9.376112	7.957359	6.838028	8.296799	11.80432	8.977467	7.580657	7.035732	7.851764
10/05/2018 23:00:00	30	9.311703	8.154833	11.71347	9.470393	8.277174	7.138809	8.171234	11.96415	8.737773	7.836169	7.143813	7.4073
11/05/2018 02:00:00	33	9.523689	8.490458	11.95052	9.810033	8.527183	7.103849	8.474363	12.55551	8.864259	7.694886	7.525212	7.600205
11/05/2018 05:00:00	36	9.829734	8.992695	12.00961	10.31018	8.947396	7.569996	8.917003	13.22419	9.41461	8.441145	8.144932	7.84937
11/05/2018 08:00:00	39	10.28846	9.574261	12.25485	10.86539	9.599227	7.522341	9.271692	13.67483	9.689388	8.730973	8.702736	8.225152
11/05/2018 11:00:00	42	10.90095	10.12938	12.74173	11.49557	10.34644	7.916289	9.774014	14.35939	10.22989	9.05566	9.134192	8.746223
11/05/2018 14:00:00	45	11.52699	10.65076	13.29316	12.27492	10.65327	8.505032	10.21399	14.99931	10.80665	9.510948	9.50035	9.278607
11/05/2018 17:00:00	48	12.12137	11.07285	13.50985	12.83043	11.52674	8.89951	10.67047	15.72158	11.2887	9.960703	10.15511	9.679462
11/05/2018 20:00:00	51	12.63041	11.45827	13.89743	13.34111	12.14362	9.382727	11.06145	16.5677	11.68901	10.22468	10.45214	9.957509
11/05/2018 23:00:00	54	12.81961	11.5118	14.18525	13.65243	12.48132	9.663552	11.37324	17.10776	11.82243	10.36992	11.00601	10.3009
12/05/2018 02:00:00	57	13.38989	12.01198	14.51964	14.26605	13.35079	9.991718	11.88994	17.70556	12.07353	10.89836	11.381	10.52879
12/05/2018 05:00:00	60	13.6706	12.58169	14.89559	14.61832	13.69536	10.44445	12.00729	18.20703	12.46205	11.05253	11.75126	10.79317
12/05/2018 08:00:00	63	14.77312	13.10306	15.12028	15.06123	14.35969	10.55766	12.48944	18.88194	12.77046	11.41416	12.17984	10.91487
12/05/2018 11:00:00	66	14.65881	13.36494	15.54379	15.72003	14.85562	10.83626	12.83777	19.3784	13.01398	11.93032	12.64674	11.12504
12/05/2018 14:00:00	69	15.30041	13.8546	15.80828	16.28805	15.50585	11.22413	13.33087	19.98709	13.40793	12.60245	13.25395	11.31591
12/05/2018 17:00:00	72	15.83627	14.54478	16.05114	16.81605	16.31527	11.4738	13.61106	20.54807	13.7864	12.80638	13.84259	11.61432
12/05/2018 20:00:00	75	17.24686	14.89615	16.38475	17.63588	17.05659	11.66125	14.06262	21.29359	13.95686	13.64029	14.33022	11.87171
12/05/2018 23:00:00	78	17.73357	15.65767	16.74666	18.35164	18.04249	11.97719	14.68462	22.16995	14.44112	13.56833	14.97959	11.95136
13/05/2018 02:00:00	81	17.62351	16.30413	16.966	19.24374	18.80224	12.22924	15.30267	22.96042	14.66261	14.14081	15.59232	12.27114
13/05/2018 05:00:00	84	18.46538	16.73957	17.30999	19.93085	19.73834	12.87555	15.90521	23.76754	14.99226	15.17148	16.29311	12.60123
13/05/2018 08:00:00	87	19.27957	17.56002	17.74539	20.8243	20.65241	13.34519	16.8856	24.7389	15.7765	15.36636	16.93437	13.04493
13/05/2018 11:00:00	90	20.06309	18.20993	18.21636	21.72874	21.64901	13.91056	17.52281	25.76613	16.2411	16.09498	17.5246	13.39283
13/05/2018 14:00:00	93	20.79283	18.7082	18.56911	22.49875	22.72014	14.63338	18.10496	26.59761	16.73436	16.50863	18.2664	13.82353
13/05/2018 17:00:00	96	21.5079	19.50628	19.10708	23.51842	23.5994	15.35409	18.85972	27.69718	17.12359	17.09032	19.03882	14.12025
13/05/2018 20:00:00	99	22.43215	20.23923	19.70643	24.34045	24.6159	16.003	19.65873	28.43867	17.88831	17.92218	19.87688	14.44304
13/05/2018 23:00:00	102	23.24415	21.1414	20.1474	25.47227	25.68717	16.59992	20.2508	29.6685	18.33615	18.46554	20.6851	14.83086
14/05/2018 02:00:00	105	24.13094	21.93966	20.74	26.55073	26.83851	17.3337	21.38115	30.84482	19.05449	19.43184	21.66468	15.35252
14/05/2018 05:00:00	108	25.11797	22.74238	21.24972	27.5971	27.78236	18.16496	22.33571	31.99394	19.81719	20.27118	22.49647	15.90446
14/05/2018 08:00:00	111	26.12837	23.6972	21.85907	28.66872	28.90729	18.95205	23.19859	33.16584	20.27098	20.85845	23.23839	16.4477
