Cell line,Target 1,Target 2,Treatment,Nucleus,Dots,Dots/Nuclea
MCF7,ER,ER,Fulvestrant,26,140,5.384615385
MCF7,ER,ER,Fulvestrant,32,175,5.46875
MCF7,ER,ER,Fulvestrant,34,137,4.029411765
MCF7,ER,ER,Fulvestrant,33,119,3.606060606
MCF7,ER,ER,Fulvestrant,25,153,6.12
MCF7,ER,ER,Fulvestrant,34,260,7.647058824
MCF7,ER,ER,Fulvestrant,33,138,4.181818182
MCF7,ER,ER,Fulvestrant,30,225,7.5
MCF7,ER,ER,Ethanol,32,491,15.34375
MCF7,ER,ER,Ethanol,17,158,9.294117647
MCF7,ER,ER,Ethanol,19,227,11.94736842
MCF7,ER,ER,Ethanol,34,284,8.352941176
MCF7,ER,ER,Ethanol,43,361,8.395348837
MCF7,ER,ER,Ethanol,34,495,14.55882353
MCF7,ER,ER,Ethanol,26,808,31.07692308
MCF7,ER,ER,Ethanol,39,562,14.41025641
MCF7,ER,ZMIZ1,Fulvestrant,35,84,2.4
MCF7,ER,ZMIZ1,Fulvestrant,27,88,3.259259259
MCF7,ER,ZMIZ1,Fulvestrant,25,104,4.16
MCF7,ER,ZMIZ1,Fulvestrant,23,129,5.608695652
MCF7,ER,ZMIZ1,Fulvestrant,28,150,5.357142857
MCF7,ER,ZMIZ1,Fulvestrant,29,119,4.103448276
MCF7,ER,ZMIZ1,Fulvestrant,20,91,4.55
MCF7,ER,ZMIZ1,Fulvestrant,33,127,3.848484848
MCF7,ER,ZMIZ1,Ethanol,25,161,6.44
MCF7,ER,ZMIZ1,Ethanol,17,389,22.88235294
MCF7,ER,ZMIZ1,Ethanol,28,369,13.17857143
MCF7,ER,ZMIZ1,Ethanol,25,339,13.56
MCF7,ER,ZMIZ1,Ethanol,27,385,14.25925926
MCF7,ER,ZMIZ1,Ethanol,25,441,17.64
MCF7,ER,ZMIZ1,Ethanol,20,357,17.85
MCF7,ER,ZMIZ1,Ethanol,25,537,21.48
MCF7,ER,IgG,Fulvestrant,22,36,1.636363636
MCF7,ER,IgG,Fulvestrant,34,34,1
MCF7,ER,IgG,Fulvestrant,15,31,2.066666667
MCF7,ER,IgG,Fulvestrant,31,64,2.064516129
MCF7,ER,IgG,Fulvestrant,38,51,1.342105263
MCF7,ER,IgG,Fulvestrant,26,36,1.384615385
MCF7,ER,IgG,Fulvestrant,32,68,2.125
MCF7,ER,IgG,Fulvestrant,33,57,1.727272727
MCF7,ER,IgG,Ethanol,26,17,0.653846154
MCF7,ER,IgG,Ethanol,31,23,0.741935484
MCF7,ER,IgG,Ethanol,30,17,0.566666667
MCF7,ER,IgG,Ethanol,35,27,0.771428571
MCF7,ER,IgG,Ethanol,32,32,1
MCF7,ER,IgG,Ethanol,24,38,1.583333333
MCF7,ER,IgG,Ethanol,30,35,1.166666667
MCF7,ER,IgG,Ethanol,31,51,1.64516129
T47D,ER,ER,Fulvestrant,41,710,17.31707317
T47D,ER,ER,Fulvestrant,35,610,17.42857143
T47D,ER,ER,Fulvestrant,44,764,17.36363636
T47D,ER,ER,Fulvestrant,33,630,19.09090909
T47D,ER,ER,Fulvestrant,23,411,17.86956522
T47D,ER,ER,Fulvestrant,34,610,17.94117647
T47D,ER,ER,Fulvestrant,38,704,18.52631579
T47D,ER,ER,Fulvestrant,44,791,17.97727273
T47D,ER,ER,Ethanol,18,688,38.22222222
T47D,ER,ER,Ethanol,45,1268,28.17777778
T47D,ER,ER,Ethanol,51,1423,27.90196078
T47D,ER,ER,Ethanol,24,664,27.66666667
T47D,ER,ER,Ethanol,30,866,28.86666667
T47D,ER,ER,Ethanol,17,469,27.58823529
T47D,ER,ER,Ethanol,23,777,33.7826087
T47D,ER,ER,Ethanol,35,1144,32.68571429
T47D,ER,ZMIZ1,Fulvestrant,21,270,12.85714286
T47D,ER,ZMIZ1,Fulvestrant,22,263,11.95454545
T47D,ER,ZMIZ1,Fulvestrant,31,382,12.32258065
T47D,ER,ZMIZ1,Fulvestrant,18,270,15
T47D,ER,ZMIZ1,Fulvestrant,13,207,15.92307692
T47D,ER,ZMIZ1,Fulvestrant,19,386,20.31578947
T47D,ER,ZMIZ1,Fulvestrant,14,147,10.5
T47D,ER,ZMIZ1,Fulvestrant,11,134,12.18181818
T47D,ER,ZMIZ1,Ethanol,19,514,27.05263158
T47D,ER,ZMIZ1,Ethanol,23,790,34.34782609
T47D,ER,ZMIZ1,Ethanol,23,619,26.91304348
T47D,ER,ZMIZ1,Ethanol,26,770,29.61538462
T47D,ER,ZMIZ1,Ethanol,18,320,17.77777778
T47D,ER,ZMIZ1,Ethanol,18,381,21.16666667
T47D,ER,ZMIZ1,Ethanol,14,277,19.78571429
T47D,ER,ZMIZ1,Ethanol,15,279,18.6
T47D,ER,IgG,Fulvestrant,14,45,3.214285714
T47D,ER,IgG,Fulvestrant,21,85,4.047619048
T47D,ER,IgG,Fulvestrant,24,84,3.5
T47D,ER,IgG,Fulvestrant,18,72,4
T47D,ER,IgG,Fulvestrant,13,45,3.461538462
T47D,ER,IgG,Fulvestrant,21,53,2.523809524
T47D,ER,IgG,Fulvestrant,18,25,1.388888889
T47D,ER,IgG,Fulvestrant,25,37,1.48
T47D,ER,IgG,Ethanol,14,56,4
T47D,ER,IgG,Ethanol,12,70,5.833333333
T47D,ER,IgG,Ethanol,14,74,5.285714286
T47D,ER,IgG,Ethanol,8,44,5.5
T47D,ER,IgG,Ethanol,28,12,0.428571429
