"condition","activity","cell","rep"
"siZMIZ1",-2.65892559131208,"MCF7","rep1"
"siZMIZ1",-3.02758808031976,"MCF7","rep2"
"siZMIZ1",-2.76371330889948,"MCF7","rep3"
"siZMIZ1",-2.97680427335,"MCF7","rep4"
"siCTRL",-1.96775482106492,"MCF7","rep1"
"siCTRL",-2.56698215776455,"MCF7","rep2"
"siCTRL",-2.6573087103859,"MCF7","rep3"
"siCTRL",-2.84207890891858,"MCF7","rep4"
"Neg. Ctrl",-3.59222808871261,"MCF7","rep1"
"Neg. Ctrl",-3.78766916706267,"MCF7","rep2"
"Neg. Ctrl",-3.75153100428991,"MCF7","rep3"
"Neg. Ctrl",-3.71668858339806,"MCF7","rep4"
"Pos. Ctrl",0,"MCF7","rep1"
"Pos. Ctrl",0,"MCF7","rep2"
"Pos. Ctrl",0,"MCF7","rep3"
"Pos. Ctrl",0,"MCF7","rep4"
"siZMIZ1",-3.75088130640707,"MDA","rep1"
"siZMIZ1",-3.99626819594926,"MDA","rep2"
"siZMIZ1",-3.75799660947733,"MDA","rep3"
"siZMIZ1",-4.02624330366589,"MDA","rep4"
"siCTRL",-3.64410583317403,"MDA","rep1"
"siCTRL",-4.12883480384257,"MDA","rep2"
"siCTRL",-3.86992476829956,"MDA","rep3"
"siCTRL",-3.85472370182065,"MDA","rep4"
"Neg. Ctrl",-3.90953452329154,"MDA","rep1"
"Neg. Ctrl",-3.78766916767037,"MDA","rep2"
"Neg. Ctrl",-3.75153100462139,"MDA","rep3"
"Neg. Ctrl",-3.71668858391784,"MDA","rep4"
"Pos. Ctrl",0,"MDA","rep1"
"Pos. Ctrl",0,"MDA","rep2"
"Pos. Ctrl",0,"MDA","rep3"
"Pos. Ctrl",0,"MDA","rep4"
"siZMIZ1",-1.10110268971021,"T47D","rep1"
"siZMIZ1",-1.5950514735011,"T47D","rep2"
"siZMIZ1",-1.15194930782675,"T47D","rep3"
"siZMIZ1",-1.32700962399129,"T47D","rep4"
"siCTRL",-0.58846738221005,"T47D","rep1"
"siCTRL",-1.358522785751,"T47D","rep2"
"siCTRL",-0.586127223992937,"T47D","rep3"
"siCTRL",-0.891912155829228,"T47D","rep4"
"Neg. Ctrl",-3.15113220496809,"T47D","rep1"
"Neg. Ctrl",-3.71690112525101,"T47D","rep2"
"Neg. Ctrl",-3.14536669899803,"T47D","rep3"
"Neg. Ctrl",-3.32593227600562,"T47D","rep4"
"Pos. Ctrl",0,"T47D","rep1"
"Pos. Ctrl",0,"T47D","rep2"
"Pos. Ctrl",0,"T47D","rep3"
"Pos. Ctrl",0,"T47D","rep4"
