Accessions	Gene	Description	GeneSymbol	Unique_peptides	MCF7.SiCTRL.EtOH.Rep.1	MCF7.SiCTRL.EtOH.Rep.2	MCF7.SiCTRL.E2.Rep.1	MCF7.SiCTRL.E2.Rep.2	MCF7.SiCTRL.E2.Rep.3	MCF7.SiCTRL.E2.Rep.4	MCF7.SiCTRL.EtOH.Rep.3	MCF7.SiCTRL.EtOH.Rep.4	log2FC	AvgIntensity	t	P.Value	adj.P.Val	B
Q9C091	GRB1L_HUMAN	GREB1-like protein OS=Homo sapiens OX=9606 GN=GREB1L PE=1 SV=2	GREB1L	4	7.81	8.13	6.55	6.43	6.58	6.47	8.02	8.18	-1.53	7.232174034	-12.55	3.10E-09	5.20E-06	11.53
Q15532	SSXT_HUMAN	Protein SSXT OS=Homo sapiens OX=9606 GN=SS18 PE=1 SV=3	SS18	1	6.74	6.52	8.5	8.03	8.06	7.81	6.25	6.15	1.68	7.287374069	10.76	2.60E-08	2.10E-05	9.53
Q8TAQ2	SMRC2_HUMAN	SWI/SNF complex subunit SMARCC2 OS=Homo sapiens OX=9606 GN=SMARCC2 PE=1 SV=1	SMARCC2	1	4.98	4.74	6.97	6.39	7.16	7.19	5.03	5.52	1.86	6.015580018	10.16	5.40E-08	2.30E-05	8.82
Q9Y2G9	SBNO2_HUMAN	Protein strawberry notch homolog 2 OS=Homo sapiens OX=9606 GN=SBNO2 PE=2 SV=3	SBNO2	8	8.89	8.65	10.48	10.4	10.64	9.9	8.55	8.1	1.81	9.461821099	10.13	5.70E-08	2.30E-05	8.77
P55317	FOXA1_HUMAN	Hepatocyte nuclear factor 3-alpha OS=Homo sapiens OX=9606 GN=FOXA1 PE=1 SV=2	FOXA1	2	6.26	6.12	7.95	7.31	7.46	7.09	5.62	5.47	1.58	6.641905177	9.82	8.40E-08	2.50E-05	8.39
P11474	ERR1_HUMAN	Steroid hormone receptor ERR1 OS=Homo sapiens OX=9606 GN=ESRRA PE=1 SV=3	ESRRA	7	7.97	7.95	9.36	9.73	9.37	9.01	7.88	7.88	1.45	8.673618522	9.4	1.50E-07	2.50E-05	7.85
P63279	UBC9_HUMAN	SUMO-conjugating enzyme UBC9 OS=Homo sapiens OX=9606 GN=UBE2I PE=1 SV=1	UBE2I	3	7.8	8.01	9.43	9.44	9.96	9.14	8.18	8.07	1.48	8.754700585	9.32	1.60E-07	2.50E-05	7.74
Q9Y4B4	ARIP4_HUMAN	Helicase ARIP4 OS=Homo sapiens OX=9606 GN=RAD54L2 PE=1 SV=4	RAD54L2	2	6.38	6.14	8.54	8.79	8.71	7.6	6.42	5.86	2.21	7.338428708	9.3	1.70E-07	2.50E-05	7.72
Q13451	FKBP5_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP5 OS=Homo sapiens OX=9606 GN=FKBP5 PE=1 SV=2	FKBP5	8	10.93	11.82	8.69	9.1	8.42	8.17	10.74	9.81	-2.23	9.667952549	-9.28	1.70E-07	2.50E-05	7.69
Q9Y6Q9	NCOA3_HUMAN	Nuclear receptor coactivator 3 OS=Homo sapiens OX=9606 GN=NCOA3 PE=1 SV=1	NCOA3	32	12.59	12.4	14.2	14.4	14.24	13.57	11.88	11.64	1.98	13.15763579	9.27	1.70E-07	2.50E-05	7.68
Q09472	EP300_HUMAN	Histone acetyltransferase p300 OS=Homo sapiens OX=9606 GN=EP300 PE=1 SV=2	EP300	15	9.97	10.13	11.73	12.28	12.19	11.51	9.76	9.61	2.06	10.9515407	9.2	1.90E-07	2.50E-05	7.59
O75925	PIAS1_HUMAN	E3 SUMO-protein ligase PIAS1 OS=Homo sapiens OX=9606 GN=PIAS1 PE=1 SV=2	PIAS1	2	6.77	6.62	8.04	8.01	6.8	6.17	5.25	4.86	1.38	6.536170188	9.19	1.90E-07	2.50E-05	7.57
